2025-02-06 22:16:58.564 [info] /home/sab/.config/Code/User/settings.json closed
2025-02-06 22:16:58.772 [info] Configuration changed
2025-02-06 22:17:00.944 [info] Configuration changed
2025-02-06 22:17:01.151 [info] Configuration changed
2025-02-06 22:17:01.157 [info] Configuration changed
2025-02-06 22:17:04.639 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:17:08.759 [info] /home/sab/Projects/PH3205/10.0.1.68/comphy.py closed
2025-02-06 22:17:13.326 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet3.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:17:16.065 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-5-22ms037.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:17:16.489 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:17:31.223 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:17:50.512 [info] /home/sab/Projects/PH3205/10.0.1.68/test.ipynb closed
2025-02-06 22:18:10.151 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W1sZmlsZQ%3D%3D
2025-02-06 22:18:11.655 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:18:16.849 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W1sZmlsZQ%3D%3D
2025-02-06 22:18:21.945 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:18:31.996 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-5-22ms037.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:18:34.033 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:18:50.006 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-5-22ms037.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:18:51.486 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W1sZmlsZQ%3D%3D
2025-02-06 22:18:52.594 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:18:56.829 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/Worksheet-5-22ms037.ipynb#W0sZmlsZQ%3D%3D
2025-02-06 22:18:58.033 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:19:05.268 [info] Executing :w
2025-02-06 22:19:06.147 [info] Executing :w
2025-02-06 22:19:10.209 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W1sZmlsZQ%3D%3D
2025-02-06 22:19:11.675 [info] Active editor: file:///home/sab/Projects/PH3205/10.0.1.68/comphy.py
2025-02-06 22:19:12.419 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W1sZmlsZQ%3D%3D
2025-02-06 22:19:14.056 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W2sZmlsZQ%3D%3D
2025-02-06 22:19:15.787 [info] Active editor: vscode-notebook-cell:/home/sab/Projects/PH3205/10.0.1.68/test.ipynb#W0sZmlsZQ%3D%3D
